CHARACTER,SENTENCE,,,,,,
LUPIN,Can you do that?,,,,,,
LUPIN,Yes. Wand at the ready.,,,,,,
LUPIN,One, three.,,,,,
LUPIN,Think, think.,,,,,
NEVILLE,Riddikulus!,,,,,,
LUPIN,Wonderful, wonderful!,,,,,
LUPIN,Incredible! Okay to the back,,,,,,
LUPIN,Everyone,,,,,,
LUPIN,Form a line!,,,,,,
LUPIN,I want everyone to picture the thing they fear the very most and turn it into something funny.,,,,,,
LUPIN,Next! Ron!,,,,,,
LUPIN,Concentrate. Face your fear.,,,,,,
LUPIN,Be brave!,,,,,,
LUPIN,Wand at the ready,,,,,,
RON,Riddikulus!,,,,,,
LUPIN,Yes!,,,,,,
LUPIN,You see? Very good,,,,,,
LUPIN,Marvelous! Absolutely, very enjoyable! Parvati! Next!,,,,,
LUPIN,Show us what you see.,,,,,,
LUPIN,Keep your nerve. Steady.,,,,,,
PARVATI,Riddikulus!,,,,,,
LUPIN,And next! Step up,,,,,,
LUPIN,Wonderful,,,,,,
LUPIN,Riddikulus!,,,,,,
LUPIN,Right. Sorry about that.,,,,,,
LUPIN,That's enough for today.,,,,,,
LUPIN,Collect your books from the back.,,,,,,
LUPIN,That's the end of the lesson.,,,,,,
LUPIN,Thank you! Sorry!,,,,,,
LUPIN,Sorry,,,,,,
MCGONAGALL,Remember,,,,,,
MCGONAGALL,Should your behavior reflect poorly on the school that privilege shall not be extended again.,,,,,,
MCGONAGALL,No permission form signed,,,,,,
MCGONAGALL,That's the rule,,,,,,
FILCH,Those with permission,,,,,,
FILCH,Those without,,,,,,
HARRY,I thought if you signed it,,,,,,
MCGONAGALL,I can't. Only a parent or a guardian can sign.,,,,,,
MCGONAGALL,Since I am neither,,,,,,
MCGONAGALL,I'm sorry,,,,,,
MCGONAGALL,That's my final word.,,,,,,
HARRY,Forget about it,,,,,,
HARRY,Professor,,,,,,
LUPIN,You want to know why I stopped you facing that boggart,,,,,,
LUPIN,I thought it'd be obvious.,,,,,,
LUPIN,I assumed it would take the shape of Lord Voldemort.,,,,,,
HARRY,I did think of Voldemort at first.,,,,,,
HARRY,But then I remembered that night on the train and the dementor.,,,,,,
LUPIN,I'm very impressed.,,,,,,
LUPIN,That suggests what you fear the most is fear itself.,,,,,,
LUPIN,This is very wise.,,,,,,
HARRY,Before I fainted I heard something.,,,,,,
HARRY,A woman screaming.,,,,,,
LUPIN,Dementors force us to relive our very worst memories.,,,,,,
LUPIN,Our pain becomes their power.,,,,,,
HARRY,I think it was my mother the night she was murdered.,,,,,,
LUPIN,The very first time I saw you, I recognized you immediately.,,,,,
LUPIN,Not by your scar,,,,,,
LUPIN,They're your mother,,,,,,
LUPIN,Yes. Oh,,,,,,
LUPIN,Your mother was there for me at a time when no one else was.,,,,,,
LUPIN,Not only was she a singularly gifted witch she was also an uncommonly kind woman.,,,,,,
LUPIN,She had a way of seeing the beauty in others even, when that person could not see it in themselves.,,,,,
LUPIN,And your father, on the other hand he...,,,,,
LUPIN,He had a certain, talent for trouble.,,,,,
LUPIN,A talent, he passed on to you.,,,,,
LUPIN,You're more like them than you know,,,,,,
LUPIN,In time,,,,,,
RON,Honeyduke's Sweetshop is brilliant,,,,,,
RON,We never got to go to the Shrieking Shack.,,,,,,
RON,You heard it's the most...,,,,,,
HARRY,Haunted building in Britain. I know.,,,,,,
HARRY,What's going on?,,,,,,
RON,Probably Neville forgot the password again.,,,,,,
NEVILLE,Hey.,,,,,,
RON,Oh,,,,,,
PERCY,Let me through,,,,,,
PERCY,Excuse me! I'm Head Boy!,,,,,,
PERCY,Get back,,,,,,
PERCY,No one is to enter this dormitory until it's been searched.,,,,,,
GINNY,The Fat Lady! She's gone!,,,,,,
RON,Serves her right.,,,,,,
RON,She was a terrible singer.,,,,,,
HERMIONE,It's not funny,,,,,,
PERCY,Keep calm,,,,,,
PERCY,Back to your common room.,,,,,,
PERCY,Be quiet. Make way.,,,,,,
PERCY,The headmaster's here.,,,,,,
FILCH,Come on,,,,,,
PERCY,You heard. Move!,,,,,,
DUMBLEDORE,Mr. Filch? Round up the ghosts.,,,,,,
DUMBLEDORE,Tell them to search every painting in the castle to find the Fat Lady.,,,,,,
FILCH,There's no need for ghosts,,,,,,
FILCH,The Fat Lady's there.,,,,,,
PERCY,Mind where you're going! Slow down!,,,,,,
PERCY,You listen! I'm Head Boy!,,,,,,
PERCY,Come back here!,,,,,,
DUMBLEDORE,Keep moving!,,,,,,
DUMBLEDORE,Dear lady,,,,,,
FAT LADY,Eyes like the devil, and a soul as dark as his name.,,,,,
FAT LADY,It's him,,,,,,
FAT LADY,The one they all talk about.,,,,,,
FAT LADY,He's here,,,,,,
FAT LADY,Sirius Black!,,,,,,
DUMBLEDORE,Secure the castle,,,,,,
DUMBLEDORE,The rest of you,,,,,,
FILCH,I've searched the Astronomy Tower and the Owlery. ,,,,,,
FILCH,There's nothing there.,,,,,,
DUMBLEDORE,Thank you.,,,,,,
TEACHER,The third floor's clear too,,,,,,
DUMBLEDORE,Very good.,,,,,,
SNAPE,I've done the dungeons.,,,,,,
SNAPE,No sign of Black,,,,,,
DUMBLEDORE,I didn't really expect him to linger.,,,,,,
SNAPE,Remarkable feat,,,,,,
SNAPE,To enter Hogwarts Castle on one's own completely undetected?,,,,,,
DUMBLEDORE,Quite remarkable,,,,,,
SNAPE,Any theories on how he managed it?,,,,,,
DUMBLEDORE,Many. Each as unlikely as the next.,,,,,,
SNAPE,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,,,,,,
DUMBLEDORE,Not a single professor inside this castle would help Sirius Black enter it.,,,,,,
DUMBLEDORE,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,,,,,,
SNAPE,What about Potter?,,,,,,
SNAPE,Should he be warned?,,,,,,
DUMBLEDORE,Perhaps. But for now,,,,,,
DUMBLEDORE,For in dreams,,,,,,
DUMBLEDORE,Let them swim in the deepest ocean or glide over the highest cloud.,,,,,,
SNAPE,Turn to page 394.,,,,,,
HARRY,Excuse me,,,,,,
HARRY,Where's Professor Lupin?,,,,,,
SNAPE,That's not really your concern, Potter?,,,,,
SNAPE,Suffice it to say your professor finds himself incapable of teaching at the present time.,,,,,,
SNAPE,Turn to page 394.,,,,,,
RON,Werewolves?,,,,,,
HERMIONE,Sir,,,,,,
HERMIONE,We're not meant to start that for weeks.,,,,,,
SNAPE,Quiet.,,,,,,
RON,When did she come in?,,,,,,
RON,Did you see her come in?,,,,,,
SNAPE,Now,,,,,,
SNAPE,No one?,,,,,,
SNAPE,How disappointing.,,,,,,
HERMIONE,Please,,,,,,
HERMIONE,An Animagus is a wizard who elects to turn into an animal.,,,,,,
HERMIONE,A werewolf has no choice.,,,,,,
HERMIONE,With each full moon he no longer remembers who he is.,,,,,,
HERMIONE,He'd kill his best friend.,,,,,,
HERMIONE,Furthermore,,,,,,
SNAPE,Thank you,,,,,,
SNAPE,That's the second time you've spoken out of turn,,,,,,
SNAPE,Are you incapable of restraining yourself or do you take pride in being an insufferable know-it-all?,,,,,,
RON,He's got a point,,,,,,
SNAPE,Five points from Gryffindor.,,,,,,
SNAPE,As an antidote to your ignorance, by Monday morning two rolls of parchment on the werewolf, with emphasis on recognizing it.,,,,
HARRY,It's Quidditch tomorrow.,,,,,,
SNAPE,Then I suggest you take extra care,,,,,,
SNAPE,Loss of limb will not excuse you.,,,,,,
SNAPE,Page 394.,,,,,,
SNAPE,"The term ""werewolf"" is a contraction of the Anglo-Saxon word ""were"" which means ""man"," man-wolf.""",,,,,
SNAPE,There are several ways to become a werewolf.,,,,,,
SNAPE,They include being given the power of shape-shifting being bitten by a werewolf...,,,,,,
CROWD,Go Go Gryffindor!!,,,,,,
HERMIONE,Go, Harry!,,,,,
DUMBLEDORE,Aresto momentum!,,,,,,
RON,He looks a bit peaky,,,,,,
FRED,Peaky?,,,,,,
FRED,What do you expect?,,,,,,
FRED,He fell over 100 feet.,,,,,,
GEORGE,Let's walk you off a tower and see what you look like.,,,,,,
HARRY,Probably a right sight better than he normally does.,,,,,,
HERMIONE,How are you feeling?,,,,,,
HARRY,Oh,,,,,,
GEORGE,You gave us a right good scare.,,,,,,
HARRY,What happened?,,,,,,
RON,Well,,,,,,
HARRY,Really? I meant the match. Who won?,,,,,,
HERMIONE,No one blames you,,,,,,
HERMIONE,Dementors aren't supposed to be on the grounds. Dumbledore's furious.,,,,,,
HERMIONE,After he saved you,,,,,,
RON,There's something else you should know too.,,,,,,
RON,When you fell, and...Well...,,,,,
LUPIN,I'm sorry to hear about your broomstick.,,,,,,
LUPIN,Is there no chance of fixing it?,,,,,,
HARRY,No.,,,,,,
HARRY,Professor,,,,,,
HARRY,I mean,,,,,,
LUPIN,Listen.,,,,,,
LUPIN,Dementors are the foulest creatures to walk this earth.,,,,,,
LUPIN,They feed on every good feeling,,,,,,
LUPIN,You are not weak,,,,,,
LUPIN,Dementors affect you most because there are true horrors in your past.,,,,,,
LUPIN,Horrors your classmates can scarcely imagine.,,,,,,
LUPIN,You have nothing to be ashamed of.,,,,,,
HARRY,I'm scared,,,,,,
LUPIN,Well,,,,,,
HARRY,I need to know how to fight them.,,,,,,
HARRY,You could teach me.,,,,,,
HARRY,You made the one on the train go away.,,,,,,
LUPIN,There was only one that night.,,,,,,
HARRY,But you made it go away.,,,,,,
LUPIN,I don't pretend to be an expert,,,,,,
LUPIN,But as the dementors seem to have developed an interest in you perhaps I should teach you.,,,,,,
LUPIN,But after the holidays.,,,,,,
LUPIN,For now,,,,,,
MAN,Last call for Hogsmeade!,,,,,,
MAN,Come on,,,,,,
HARRY,Guys,,,,,,
FRED,Clever,,,,,,
GEORGE,But not clever enough.,,,,,,
FRED,We've got a better way.,,,,,,
HARRY,I'm trying to get to Hogsmeade.,,,,,,
FRED & GEORGE,We know.,,,,,,
FRED,We'll get you there.,,,,,,
GEORGE,We'll show you a quicker way.,,,,,,
FRED,If you pipe down.,,,,,,
FRED,Bless him.,,,,,,
HARRY,Let me go! Come on,,,,,,
FRED,Now,,,,,,
GEORGE,Come and join the big boys.,,,,,,
HARRY,What are you doing?!,,,,,,
HARRY,What's this rubbish?,,,,,,
GEORGE,What's this rubbish? he says.,,,,,,
FRED,It's the secret to our success.,,,,,,
GEORGE,It's a wrench giving it to you...,,,,,,
FRED,But we've decided your needs are greater than ours.,,,,,,
FRED,George,,,,,,
GEORGE,I solemnly swear that I am up to no good.,,,,,,
HARRY,Messrs. Moony, Padfoot and Prongs are proud to present the Marauder's Map.,,,,,
GEORGE,We owe them so much.,,,,,,
HARRY,Hang on. This is Hogwarts. And that…,,,,,,
HARRY,No. Is that really...?,,,,,,
FRED,Dumbledore.,,,,,,
GEORGE,In his study.,,,,,,
FRED,Pacing.,,,,,,
GEORGE,Does that a lot.,,,,,,
HARRY,So you mean this map shows...,,,,,,
FRED,Everyone.,,,,,,
HARRY,Everyone?,,,,,,
GEORGE,Where they are.,,,,,,
FRED,What they're doing.,,,,,,
GEORGE,Every minute.,,,,,,
FRED,Every day.,,,,,,
HARRY,Brilliant! Where did you get it?,,,,,,
FRED,From Filch's office.,,,,,,
FRED,First year.,,,,,,
GEORGE,There are seven secret passageways out of the castle.,,,,,,
GEORGE,We'd recommend this one.,,,,,,
FRED,The One-Eyed Witch passageway.,,,,,,
GEORGE,Leads straight you to Honeyduke's.,,,,,,
FRED,Hurry. Filch is heading this way.,,,,,,
GEORGE,Oh Harry and don't forget. When you're done,,,,,,
FRED & GEORGE,Mischief managed.,,,,,,
FRED & GEORGE,Otherwise,,,,,,
WITCH,Now,,,,,,
BOY,Delicious.,,,,,,
HERMIONE,It's meant to be the most haunted building in Britain. Did I mention that?,,,,,,
RON,Twice.,,,,,,
HERMIONE,Do you want to move a bit closer?,,,,,,
HERMIONE,To the Shrieking Shack?,,,,,,
RON,Actually,,,,,,
DRACO,Well,,,,,,
DRACO,You two shopping for your new dream home?,,,,,,
DRACO,Bit grand for you, Weasle-Bee?,,,,,
DRACO,Don't your family sleep in one room?,,,,,,
RON,Shut your mouth,,,,,,
DRACO,Not very friendly.,,,,,,
DRACO,Boys,,,,,,
HERMIONE,Hope you don't mean yourself.,,,,,,
DRACO,How dare you talk to me!,,,,,,
DRACO,You filthy little mudblood!,,,,,,
DRACO,Who is that?,,,,,,
DRACO,Don't stand there! Do something!,,,,,,
CRABBE,What?,,,,,,
RON,What's up,,,,,,
DRACO,Get out of the way!,,,,,,
DRACO,Move!,,,,,,
CRABBE,Malfoy! Wait! Wait!,,,,,,
HERMIONE,Harry!,,,,,,
RON,Bloody hell,,,,,,
RON,That was not funny.,,,,,,
RON,Those weasels! Never told me about any Marauder's Map.,,,,,,
HERMIONE,He won't keep it. He'll turn it over to Professor McGonagall. Aren't you?,,,,,,
RON,Sure. Along with his Invisibility Cloak.,,,,,,
HERMIONE,Look who it is. Madam Rosmerta.,,,,,,
HERMIONE,Ron fancies her.,,,,,,
RON,That's not true!,,,,,,
FUDGE,Professor McGonagall!,,,,,,
MCGONAGALL,Cornelius!,,,,,,
HAGRID,Allow me,,,,,,
FUDGE,Oh,,,,,,
HAGRID,Sorry about that.,,,,,,
FUDGE,Rosmerta,,,,,,
FUDGE,I hope business is good.,,,,,,
MADAM ROSMERTA,It'd be a lot better if the Ministry wasn't sending dementors into my pub every other night!,,,,,,
FUDGE,We have...We have a killer on the loose.,,,,,,
MADAM ROSMERTA,Sirius Black in Hogsmeade!,,,,,,
MADAM ROSMERTA,And what would bring him here?,,,,,,
FUDGE,Harry Potter.,,,,,,
MADAM ROSMERTA,Harry Potter?,,,,,,
FUDGE,Shh! Come.,,,,,,
HERMIONE,Harry!,,,,,,
SHRUNKEN HEAD 1,No underage wizards allowed in today!,,,,,,
SHRUNKEN HEAD 2,Shut the damn door!,,,,,,
HERMIONE,So rude.,,,,,,
RON,Thick heads.,,,,,,
SHRUNKEN HEAD 1,Thick heads?!,,,,,,
SHRUNKEN HEAD 2,How dare they!,,,,,,
SHRUNKEN HEAD 2,Who are they calling thick heads?,,,,,,
SHRUNKEN HEAD 1,Young whippersnappers!,,,,,,
MADAM ROSMERTA,Nobody will come to a pub where they'll get scared out of their wits.,,,,,,
MCGONAGALL,Professor Dumbledore doesn't want dementors around the place.,,,,,,
MADAM ROSMERTA,Tell me what this is all about.,,,,,,
MCGONAGALL,Years ago,,,,,,
MCGONAGALL,Remember? They hid.,,,,,,
MCGONAGALL,Few knew where they were.,,,,,,
MCGONAGALL,One who did was Sirius Black.,,,,,,
MCGONAGALL,And he told You-Know-Who.,,,,,,
FUDGE,Not only did Black lead him to the Potters that night he also killed one of their friends Peter Pettigrew!,,,,,,
MADAM ROSMERTA,Peter Pettigrew?,,,,,,
MCGONAGALL,Little lump of a boy.,,,,,,
MCGONAGALL,Always trailing after Black.,,,,,,
MADAM ROSMERTA,I remember.,,,,,,
MADAM ROSMERTA,Never let James and Sirius out of his sight.,,,,,,
MADAM ROSMERTA,What happened?,,,,,,
MCGONAGALL,Peter tried to warn the Potters and might have, Sirius Black.,,,,,
FUDGE,Black was vicious.,,,,,,
FUDGE,He didn't kill Pettigrew. He destroyed him!,,,,,,
FUDGE,A finger. That's all that was left.,,,,,,
FUDGE,A finger. Nothing else.,,,,,,
MCGONAGALL,Yes,,,,,,
FUDGE,And now he wants to finish what he started.,,,,,,
MADAM ROSMERTA,I don't believe it.,,,,,,
FUDGE,That's not the worst of it.,,,,,,
MADAM ROSMERTA,What could be worse?,,,,,,
MCGONAGALL,This: Sirius Black was and remains to this day Harry Potter's godfather!,,,,,,
HERMIONE,Ron,,,,,,
HERMIONE,Sorry. Sorry. Excuse me,,,,,,
RON,Merry Christmas.,,,,,,
HERMIONE,Harry,,,,,,
HARRY,He was their friend and he betrayed them.,,,,,,
HARRY,He was their friend!,,,,,,
HARRY,I hope he finds me.,,,,,,
HARRY,Because when he does,,,,,,
HARRY,When he does,,,,,,
LUPIN,Harry. There you are. You came.,,,,,,
LUPIN,Are you sure about this,,,,,,
LUPIN,This is very advanced magic well beyond the Ordinary Wizarding Level.,,,,,,
HARRY,I'm sure.,,,,,,
LUPIN,Well,,,,,,
LUPIN,The spell I'm going to try yo teach you is called the Patronus Charm.,,,,,,
LUPIN,Did you ever hear of it?,,,,,,
LUPIN,No? Well...A Patronus is a positive force.,,,,,,
LUPIN,For the wizard who conjures one it works like a shield,,,,,,
LUPIN,But in order for it to work,,,,,,
LUPIN,Not just any memory, a very powerful memory.,,,,,
LUPIN,Can you do this?,,,,,,
HARRY,Yes.,,,,,,
LUPIN,Very well. Close your eyes.,,,,,,
LUPIN,Concentrate.,,,,,,
LUPIN,Explore your past.,,,,,,
LUPIN,Do you have a memory?,,,,,,
LUPIN,Allow it to fill you up.,,,,,,
LUPIN,Lose yourself within it.,,,,,,
LUPIN,Then speak the incantation,,,,,,
HARRY,Expecto Patronum.,,,,,,
LUPIN,Very good.,,,,,,
HARRY,Shall we? Wand at the ready.,,,,,,
HARRY,Expecto Patronum!,,,,,,
HARRY,Expecto... Expecto...Expect...,,,,,,
LUPIN,Here we go. Come on.,,,,,,
LUPIN,Sit up. Deep breaths.,,,,,,
LUPIN,It's all right. I didn't expect you to do it the first time.,,,,,,
LUPIN,That would have been remarkable.,,,,,,
LUPIN,Here,,,,,,
HARRY,That's one nasty dementor.,,,,,,
LUPIN,Oh, no, no.,,,,
LUPIN,That was a boggart,,,,,,
LUPIN,The real thing would be worse.,,,,,,
LUPIN,Much,,,,,,
LUPIN,As a matter of interest,,,,,,
LUPIN,Which memory did you choose?,,,,,,
HARRY,The first time I rode a broom.,,,,,,
LUPIN,That's not good enough.,,,,,,
LUPIN,Not nearly good enough.,,,,,,
HARRY,There's another.,,,,,,
HARRY,It's not happy,,,,,,
HARRY,Well,,,,,,
HARRY,It's the happiest I've ever felt but it's complicated.,,,,,,
LUPIN,Is it strong?,,,,,,
LUPIN,Then let's give it a try. You feel ready?,,,,,,
HARRY,Just do it.,,,,,,
HARRY,Expecto Patronum!,,,,,,
HARRY,Expecto Patronum!,,,,,,
LUPIN,Yes! Well done,,,,,,
HARRY,I think I've had enough for today.,,,,,,
LUPIN,Yes. Sit down. Here.,,,,,,
LUPIN,Eat this,,,,,,
LUPIN,And just so you know,,,,,,
LUPIN,And that is saying something.,,,,,,
HARRY,I was thinking of him. And Mum.,,,,,,
HARRY,Seeing their faces.,,,,,,
HARRY,They were talking to me.,,,,,,
HARRY,Just talking.,,,,,,
HARRY,That's the memory I chose.,,,,,,
HARRY,I don't even know if it's real.,,,,,,
HARRY,But it's the best I have.,,,,,,
HERMIONE,Beautiful day.,,,,,,
RON,Gorgeous.,,,,,,
RON,Unless you've been ripped to pieces!,,,,,,
HARRY,Ripped to pieces?,,,,,,
HARRY,What are you talking about?,,,,,,
HERMIONE,Ronald has lost his rat.,,,,,,
RON,I haven't lost anything!,,,,,,
RON,Your cat killed him!,,,,,,
HERMIONE,Rubbish.,,,,,,
RON,Harry,,,,,,
RON,And Scabbers is gone.,,,,,,
HERMIONE,Well,,,,,,
RON,Your cat killed him!,,,,,,
HERMIONE,Did not.,,,,,,
RON,Did.,,,,,,
HERMIONE,Didn't.,,,,,,
HERMIONE,How did it go,,,,,,
HAGRID,Well, the committee members took turns talking about why we were there.,,,,,
HAGRID,I got up and did my piece.,,,,,,
HAGRID,Said how Buckbeak was a good hippogriff,,,,,,
HAGRID,And then Lucius Malfoy got up.,,,,,,
HAGRID,Well,,,,,,
HAGRID,He said Buckbeak was a deadly and dangerous creature who would kill you as soon as look at you.,,,,,,
HERMIONE,And then?,,,,,,
HAGRID,And then he asked for the worst,,,,,,
RON,They're not sacking you!,,,,,,
HAGRID,No,,,,,,
HAGRID,Buckbeak's been sentenced to death!,,,,,,
RON,Spiders! There's... There's spiders.,,,,,,
RON,Spiders. They want me to tap-dance.,,,,,,
RON,I don't wanna tap-dance!,,,,,,
HARRY,Tell those spiders.,,,,,,
RON,Right,,,,,,
MADAM ROSMERTA,Peter Pettigrew?,,,,,,
MCGONAGALL,Little lump of a boy.,,,,,,
MCGONAGALL,Always trailing after Sirius Black.,,,,,,
FUDGE,Black was vicious.,,,,,,
FUDGE,He didn 't kill Pettigrew,,,,,,
VOICE,Put that light out!,,,,,,
HARRY,Sorry.,,,,,,
VOICE,Watch it there,,,,,,
VOICE,We're trying to sleep here!,,,,,,
HARRY,Mischief managed. Nox.,,,,,,
SNAPE,Potter.,,,,,,
SNAPE,What are you doing wandering the corridors at night?,,,,,,
HARRY,I was sleepwalking.,,,,,,
SNAPE,How extraordinarily like your father you are,,,,,,
SNAPE,He, was exceedingly arrogant, strutting about the castle.,,,,
HARRY,My dad didn't strut. And nor do I.,,,,,,
HARRY,If you don't mind,,,,,,
SNAPE,Turn out your pockets.,,,,,,
SNAPE,Turn out your pockets!,,,,,,
SNAPE,What's this?,,,,,,
HARRY,Spare bit of parchment.,,,,,,
SNAPE,Really? Open it.,,,,,,
SNAPE,Reveal your secrets.,,,,,,
SNAPE,Read it.,,,,,,
HARRY,Messrs. Moony, Padfoot, and Prongs offer their compliments to Professor Snape and...,,,,
SNAPE,Go on.,,,,,,
HARRY,And request he keep his large nose out of other people's business.,,,,,,
SNAPE,You insolent little...,,,,,,
LUPIN,Professor!,,,,,,
SNAPE,Well,,,,,,
SNAPE,Out for a little walk in the moonlight,,,,,,
LUPIN,Harry,,,,,,
SNAPE,That remains to be seen.,,,,,,
SNAPE,I have now just confiscated a rather curious artifact.,,,,,,
SNAPE,Take a look,,,,,,
SNAPE,Supposed to be your area of expertise.,,,,,,
SNAPE,Clearly,,,,,,
LUPIN,I seriously doubt it,,,,,,
LUPIN,It looks as though it's a parchment designed to insult anyone who tries to read it.,,,,,,
LUPIN,I suspect it's a Zonko product.,,,,,,
LUPIN,Nevertheless,,,,,,
LUPIN,It is, as you say, my area of expertise.,,,,
LUPIN,Harry, please? Professor, good night.,,,,
VOICE,Are you deaf? Put that light out!,,,,,,
LUPIN,Come in.,,,,,,
LUPIN,I haven't the faintest idea how this map came to be in your possession but quite frankly,,,,,,
LUPIN,Did it never occur to you that this,,,,,,
LUPIN,No.,,,,,,
HARRY,No,,,,,,
LUPIN,Your father never set much store by the rules either.,,,,,,
LUPIN,But he and your mother gave their lives to save yours.,,,,,,
LUPIN,Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!,,,,,,
LUPIN,Now,,,,,,
LUPIN,Do you hear me?,,,,,,
HARRY,Yes,,,,,,
LUPIN,I want you to return to your dormitory and stay there.,,,,,,
LUPIN,And don't take any detours.,,,,,,
LUPIN,If you do,,,,,,
HARRY,Professor, I don't think that map always works.,,,,,
HARRY,Earlier,,,,,,
HARRY,Someone I know to be dead.,,,,,,
LUPIN,Oh,,,,,,
HARRY,Peter Pettigrew.,,,,,,
LUPIN,That's not possible.,,,,,,
HARRY,It's just what I saw.,,,,,,
HARRY,Good night,,,,,,
TRELAWNEY,Broaden your minds.,,,,,,
TRELAWNEY,You must look beyond.,,,,,,
TRELAWNEY,The art of crystal gazing is in the clearing of the Inner Eye.,,,,,,
TRELAWNEY,Only then can you see. Try again.,,,,,,
TRELAWNEY,Now,,,,,,
HERMIONE,Do you mind me trying?,,,,,,
HERMIONE,The Grim,,,,,,
TRELAWNEY,My dear,,,,,,
TRELAWNEY,No, there.,,,,,
TRELAWNEY,You may be young in years, your soul as dry as the pages of the books to which you so desperately cleave.,,,,,
TRELAWNEY,Have I said something?,,,,,,
RON,She's gone mental,,,,,,
RON,I mean,,,,,,
HARRY,Hang on.,,,,,,
HARRY,We better take this back.,,,,,,
