CHARACTER,SENTENCE,,,,,,
RON,I'm not going back.,,,,,,
HARRY,Fine. See you later.,,,,,,
RON,See you.,,,,,,
VOICE,Harry Potter,,,,,,
HARRY,Professor Trelawney...,,,,,,
TRELAWNEY,He will return tonight.,,,,,,
HARRY,Sorry?,,,,,,
TRELAWNEY,Tonight, whose heart rots with murder shall break free.,,,,,
TRELAWNEY,Innocent blood shall be spilt and servant and master shall be reunited once more.,,,,,,
TRELAWNEY,I'm so sorry,,,,,,
TRELAWNEY,Did you say something?,,,,,,
HARRY,No. Nothing.,,,,,,
HERMIONE,I can't believe they're going to kill Buckbeak. It's just too horrible.,,,,,,
RON,It just got worse.,,,,,,
DRACO,What did I say? Father said I can keep the hippogriff's head.,,,,,,
DRACO,I'll donate it to the Gryffindors' room.,,,,,,
DRACO,This is going to be rich.,,,,,,
GOYLE,Look who's here.,,,,,,
DRACO,Come to see the show?,,,,,,
HERMIONE,You! You foul, evil little cockroach!,,,,,
RON,Hermione,,,,,,
RON,He's not worth it.,,,,,,
GOYLE,Malfoy,,,,,,
GOYLE,Let's go. Quick.,,,,,,
DRACO,Not a word to anyone,,,,,,
HERMIONE,That felt good.,,,,,,
RON,Not good,,,,,,
HAGRID,Look at him. Loves the smell of the trees when the wind blows through them.,,,,,,
HARRY,Why don't we just set him free?,,,,,,
HAGRID,They'd know it was me,,,,,,
HAGRID,He's coming down,,,,,,
HAGRID,Says he wants to be with me when they...When it happens.,,,,,,
HAGRID,Great man,,,,,,
HAGRID,A great man.,,,,,,
HERMIONE,We'll stay with you too.,,,,,,
HAGRID,You'll do no such thing!,,,,,,
HAGRID,Think I want you seeing something like that? No.,,,,,,
HAGRID,You just drink your tea and be off.,,,,,,
HAGRID,Oh. Before you do,,,,,,
RON,Scabbers! You're alive!,,,,,,
HAGRID,Keep a closer eye on your pet.,,,,,,
HERMIONE,I think you owe someone an apology.,,,,,,
RON,Right. Next time I see Crookshanks,,,,,,
HERMIONE,I meant me!,,,,,,
HAGRID,Blimey. What was that?,,,,,,
HARRY,Hagrid!,,,,,,
HAGRID,Oh,,,,,,
DUMBLEDORE,No,,,,,,
HAGRID,It's late. It's nearly dark.,,,,,,
HAGRID,You shouldn't be here.,,,,,,
HAGRID,Someone sees you outside this time of night,,,,,,
HAGRID,Particularly you,,,,,,
HAGRID,With you in a moment!,,,,,,
HAGRID,Quick. Quick!,,,,,,
HARRY,Hagrid.,,,,,,
HARRY,It'll be fine. It'll be okay.,,,,,,
HAGRID,Go on,,,,,,
DUMBLEDORE,That's ling you see over there...,,,,,,
FUDGE,On the slope.,,,,,,
DUMBLEDORE,On the slope... Ah,,,,,,
HAGRID,Professor Dumbledore.,,,,,,
DUMBLEDORE,Good evening.,,,,,,
HAGRID,Minister. Make your way through.,,,,,,
HAGRID,Have a tea,,,,,,
FUDGE,No,,,,,,
HAGRID,Gentlemen.,,,,,,
DUMBLEDORE,I'd like a cup of tea.,,,,,,
FUDGE,Well, shall we?,,,,,
FUDGE,"Very well. It is the decision of the Committee for the Disposal of Dangerous Creatures that the hippogriff Buckbeak here in after called ""the condemned",,,,,,
HAGRID,Dear,,,,,,
DUMBLEDORE,Now, Hagrid. Now, come on.,,,,
DUMBLEDORE,All right. It'll be all right.,,,,,,
FUDGE,The execution shall dispatch...,,,,,,
HARRY,What?,,,,,,
HERMIONE,I thought I just saw...Never mind.,,,,,,
RON,Let's go!,,,,,,
HAGRID,Buckbeak didn't mean no harm.,,,,,,
HARRY,Oh,,,,,,
RON,He bit me. Scabbers.,,,,,,
HERMIONE,Ron. Ron!,,,,,,
HARRY,Ron!,,,,,,
RON,Scabbers,,,,,,
HARRY,Wait!,,,,,,
RON,Scabbers,,,,,,
HERMIONE,Harry,,,,,,
HARRY,That's not good. Ron,,,,,,
RON,Harry, run!,,,,,
RON,It's the Grim!,,,,,,
RON,Ah! Harry!,,,,,,
HARRY,Ron! Ron,,,,,,
RON,Harry!Help!,,,,,,
HERMIONE,Ron!!,,,,,,
HARRY,Ron!,,,,,,
HARRY,Ron. Ron.,,,,,,
HERMIONE,Ron!,,,,,,
HARRY,Come on!,,,,,,
HARRY,Move!,,,,,,
HERMIONE,Duck!,,,,,,
HERMIONE,Harry!,,,,,,
HERMIONE,Oh,,,,,,
HARRY,Don't worry.,,,,,,
HERMIONE,Where do you suppose this goes?,,,,,,
HARRY,I have a hunch.,,,,,,
HARRY,I just hope I'm wrong.,,,,,,
HERMIONE,We're in the Shrieking Shack,,,,,,
HARRY,Come on.,,,,,,
HARRY,Ron.,,,,,,
HERMIONE,Ron. You're okay.,,,,,,
HARRY,The dog. Where is it?,,,,,,
RON,It's a trap. He's the dog.,,,,,,
RON,He's an Animagus.,,,,,,
HERMIONE,If you want to kill Harry,,,,,,
SIRIUS,No. Only one will die tonight.,,,,,,
HARRY,Then it'll be you!,,,,,,
SIRIUS,Are you going to kill me,,,,,,
LUPIN,Expelliarmus!,,,,,,
LUPIN,Well, Sirius.,,,,,
LUPIN,Looking rather ragged,,,,,,
LUPIN,Finally,,,,,,
SIRIUS,Well, wouldn't you Remus?,,,,,
SIRIUS,I found him.,,,,,,
LUPIN,I know.,,,,,,
SIRIUS,It's him.,,,,,,
LUPIN,I understand.,,,,,,
SIRIUS,Let's kill him!,,,,,,
HERMIONE,No! I trusted you!,,,,,,
HERMIONE,And all this time,,,,,,
HERMIONE,He's a werewolf!,,,,,,
HERMIONE,That's why he's been missing classes.,,,,,,
LUPIN,How long have you known?,,,,,,
HERMIONE,Since Professor Snape set the essay.,,,,,,
LUPIN,Well,,,,,,
LUPIN,You are the brightest witch of your age I've ever met.,,,,,,
SIRIUS,Enough talk,,,,,,
SIRIUS,Come on,,,,,,
LUPIN,Wait!,,,,,,
SIRIUS,I did my waiting!,,,,,,
SIRIUS,Twelve years of it! In Azkaban!,,,,,,
LUPIN,Very well. Kill him.,,,,,,
LUPIN,But wait one more minute.,,,,,,
LUPIN,Harry has the right to know why.,,,,,,
HARRY,I know why.,,,,,,
HARRY,You betrayed my parents.,,,,,,
HARRY,You're the reason they're dead!,,,,,,
LUPIN,No,,,,,,
LUPIN,Somebody did betray your parents somebody who, I believed to be dead!,,,,,
HARRY,Who was it,,,,,,
SIRIUS,Peter Pettigrew!,,,,,,
SIRIUS,And he's in this room! Right now!,,,,,,
SIRIUS,Come out, Peter!,,,,,
SIRIUS,Come out,,,,,,
SNAPE,Expelliarmus!,,,,,,
SNAPE,Vengeance is sweet.,,,,,,
SNAPE,How I hoped I'd be the one to catch you.,,,,,,
LUPIN,Severus...,,,,,,
SNAPE,I told Dumbledore you were helping a friend into the castle. Here's the proof.,,,,,,
SIRIUS,Brilliant,,,,,,
SIRIUS,Once again you've put your keen mind to the task and come to the wrong conclusion.,,,,,,
SIRIUS,If you'll excuse us,,,,,,
SNAPE,Give me a reason. I beg you!,,,,,,
LUPIN,Severus don't be a fool.,,,,,,
SIRIUS,He can't help it. It's habit.,,,,,,
LUPIN,Sirius be quiet.,,,,,,
SIRIUS,Be quiet yourself!,,,,,,
SNAPE,You two,,,,,,
SIRIUS,Why don't you run along and play with your chemistry set!,,,,,,
SNAPE,I could do it,,,,,,
SNAPE,But why deny the dementors?,,,,,,
SNAPE,They're so longing to see you.,,,,,,
SNAPE,Do I detect a flicker of fear?,,,,,,
SNAPE,Oh,,,,,,
SNAPE,It's said to be nearly unbearable to witness,,,,,,
LUPIN,Severus,,,,,,
SNAPE,After you.,,,,,,
HARRY,Expelliarmus!,,,,,,
RON,Harry! What did you just do?,,,,,,
HERMIONE,You attacked a teacher!,,,,,,
HARRY,Tell me about Peter.,,,,,,
LUPIN,He was at school with us.,,,,,,
LUPIN,We thought he was our friend!,,,,,,
HARRY,No. Pettigrew's dead. You killed him!,,,,,,
LUPIN,No,,,,,,
LUPIN,I thought so too,,,,,,
HARRY,The map was lying,,,,,,
SIRIUS,The map never lies!,,,,,,
SIRIUS,Pettigrew's alive!,,,,,,
SIRIUS,And he's right there!,,,,,,
RON,Me?! He's mental!,,,,,,
SIRIUS,Not you! Your rat!,,,,,,
RON,Scabbers has been in my family for...,,,,,,
SIRIUS,Twelve years?,,,,,,
SIRIUS,Curiously long life for a common garden rat!,,,,,,
SIRIUS,He's missing a toe,,,,,,
RON,So what?,,,,,,
HARRY,All they could find of Pettigrew was his...,,,,,,
SIRIUS,Finger!,,,,,,
SIRIUS,Dirty coward cut it off so everyone would think he was dead!,,,,,,
SIRIUS,And then he transformed into a rat!,,,,,,
HARRY,Show me.,,,,,,
HARRY,Give it to him,,,,,,
RON,What are you trying to do to him?,,,,,,
RON,Scabbers!,,,,,,
RON,Leave him alone! Get off him!,,,,,,
RON,What are you doing?,,,,,,
PETTIGREW,Remus? Sirius. My old friends!,,,,,,
PETTIGREW,Harry! Look at you.,,,,,,
PETTIGREW,You look so much like your father.,,,,,,
PETTIGREW,James. We were the best of friends...,,,,,,
SIRIUS,How dare you speak to Harry!,,,,,,
SIRIUS,How dare you talk about James in front of him!,,,,,,
LUPIN,You sold James and Lily to Voldemort!,,,,,,
PETTIGREW,I didn't mean to!,,,,,,
PETTIGREW,The Dark Lord. You have no idea the weapons he possesses!,,,,,,
PETTIGREW,Ask yourself,,,,,,
PETTIGREW,What would you have done?,,,,,,
PETTIGREW,What would you have done?,,,,,,
SIRIUS,I'm gonna died,,,,,,
PETTIGREW,James wouldn't have wanted me killed!,,,,,,
PETTIGREW,Your dad would have spared me!,,,,,,
PETTIGREW,He would have shown me mercy!,,,,,,
SIRIUS,Should have realized if Voldemort didn't kill you,,,,,,
HARRY,No!,,,,,,
LUPIN,Harry,,,,,,
HARRY,I know what he is.,,,,,,
HARRY,But we'll take him to the castle.,,,,,,
PETTIGREW,Bless you,,,,,,
HARRY,Get off!,,,,,,
HARRY,I said we'd take you to the castle.,,,,,,
HARRY,After that,,,,,,
SIRIUS,Sorry about the bite.,,,,,,
SIRIUS,I reckon that twinges a bit.,,,,,,
RON,A bit? A bit?,,,,,,
RON,You almost tore my leg off!,,,,,,
SIRIUS,I was going for the rat.,,,,,,
SIRIUS,Normally,,,,,,
SIRIUS,More than once,,,,,,
SIRIUS,The tail I could live with.,,,,,,
SIRIUS,But the fleas,,,,,,
HARRY,Okay.,,,,,,
RON,You better go.,,,,,,
HARRY,No. Don't worry,,,,,,
HARRY,It's fine. I'll stay.,,,,,,
HERMIONE,You go,,,,,,
HARRY,You okay?,,,,,,
RON,I'm fine. Go.,,,,,,
HERMIONE,That looks really painful.,,,,,,
RON,So painful.,,,,,,
RON,They might chop it.,,,,,,
HERMIONE,I'm sure Madam Pomfrey will fix it in a heartbeat.,,,,,,
RON,It's too late. It's ruined.,,,,,,
RON,It'll have to be chopped off.,,,,,,
SIRIUS,It's beautiful,,,,,,
SIRIUS,I'll never forget the first time I walked through those doors.,,,,,,
SIRIUS,It'll be nice to do it again as a free man.,,,,,,
SIRIUS,That was a noble thing you did back there.,,,,,,
SIRIUS,He doesn't deserve it.,,,,,,
HARRY,I didn't think my dad would have wanted his best friends to become killers.,,,,,,
HARRY,Besides, the truth dies with him.,,,,,
HARRY,Alive,,,,,,
PETTIGREW,Turn me into a flobberworm.,,,,,,
PETTIGREW,Anything but the dementors!,,,,,,
PETTIGREW,Ron! Haven't I been a good pet?,,,,,,
PETTIGREW,You won't let them give me to the dementors,,,,,,
PETTIGREW,I was your rat!,,,,,,
PETTIGREW,Sweet,,,,,,
LUPIN,Get away from her!,,,,,,
SIRIUS,I don't know if you know, James and Lily made me your godfather.,,,,,
HARRY,I know.,,,,,,
SIRIUS,I can understand if you choose to stay with your aunt and uncle but if you ever wanted a different home...,,,,,,
HARRY,What? Come and live with you?,,,,,,
SIRIUS,It's just a thought.,,,,,,
SIRIUS,I can understand if you don't want to.,,,,,,
HERMIONE,Harry!,,,,,,
SIRIUS,Remus,,,,,,
SIRIUS,Have you taken your potion tonight?,,,,,,
SIRIUS,You know the man you truly are,,,,,,
SIRIUS,This heart is where you truly live! Here!,,,,,,
SIRIUS,This flesh is only flesh!,,,,,,
HARRY,Expelliarmus!,,,,,,
HERMIONE,Harry!,,,,,,
SIRIUS,Remus! Remus!,,,,,,
SIRIUS,Run! Run!,,,,,,
HARRY,Come on.,,,,,,
HERMIONE,Wait. Wait.,,,,,,
RON,Hermione! Bad idea. Bad idea.,,,,,,
HERMIONE,Professor? Professor Lupin?,,,,,,
RON,Nice doggy. Nice doggy!,,,,,,
SNAPE,There you are,,,,,,
HARRY,Sirius!,,,,,,
SNAPE,Come back here,,,,,,
HARRY,Sirius!,,,,,,
HARRY,No. Sirius!,,,,,,
HARRY,Expecto Patronum!,,,,,,
HERMIONE,Harry?,,,,,,
HARRY,I saw my dad.,,,,,,
HERMIONE,What?,,,,,,
HARRY,He sent the dementors away.,,,,,,
HARRY,I saw him across the lake.,,,,,,
HERMIONE,Listen Harry,,,,,,
HERMIONE,Any minute the dementors are gonna perform the Kiss.,,,,,,
HARRY,They're gonna kill him?,,,,,,
HERMIONE,No. It's worse.,,,,,,
HERMIONE,Much worse.,,,,,,
HERMIONE,They're going to suck out his soul.,,,,,,
HERMIONE,Headmaster,,,,,,
HERMIONE,They've got the wrong man.,,,,,,
HARRY,It's true sir. Sirius is innocent.,,,,,,
RON,It's Scabbers who did it.,,,,,,
DUMBLEDORE,Scabbers?,,,,,,
RON,He's my rat,,,,,,
RON,He's not really a rat. He was a rat.,,,,,,
RON,He was my brother Percy's rat.,,,,,,
RON,But then they gave him an owl...,,,,,,
HERMIONE,The point is,,,,,,
HERMIONE,Please believe us.,,,,,,
DUMBLEDORE,I do,,,,,,
DUMBLEDORE,But the word of three 13-year-old wizards will convince few others.,,,,,,
DUMBLEDORE,A child's voice,,,,,,
DUMBLEDORE,Mysterious thing,,,,,,
DUMBLEDORE,Powerful and when meddled with,,,,,,
DUMBLEDORE,Sirius Black is in the topmost cell of the Dark Tower.,,,,,,
DUMBLEDORE,You know the laws,,,,,,
DUMBLEDORE,You must not be seen.,,,,,,
DUMBLEDORE,And you would do well, to return before this last chime.,,,,,
DUMBLEDORE,If not,,,,,,
DUMBLEDORE,If you succeed tonight more than one innocent life may be spared.,,,,,,
DUMBLEDORE,Three turns should do it,,,,,,
DUMBLEDORE,Oh,,,,,,
DUMBLEDORE,When in doubt,,,,,,
DUMBLEDORE,Good luck.,,,,,,
RON,What the bloody hell was that all about?,,,,,,
HERMIONE,Sorry, but seeing as you can't walk...,,,,,
HARRY,What just happened?,,,,,,
HARRY,Where's Ron?,,,,,,
HERMIONE,07:30. Where were we at 7:30?,,,,,,
HARRY,I don't know. Going to Hagrid's?,,,,,,
HERMIONE,Come on. And we can't be seen.,,,,,,
HARRY,Hermione!,,,,,,
HARRY,Hermione! Hermione,,,,,,
HARRY,Hermione,,,,,,
DRACO,Come to see the show?,,,,,,
HERMIONE,You! You foul,evil little cockroach!,,,,,
HARRY,That's us.,,,,,,
RON,Hermione,,,,,,
HARRY,This is not normal.,,,,,,
HERMIONE,This is a Time-Turner,,,,,,
HERMIONE,McGonagall gave it to me first term.,,,,,,
HERMIONE,This is how I've been getting to my lessons all year.,,,,,,
HARRY,You mean we've gone back in time?,,,,,,
HERMIONE,Yes.,,,,,,
HERMIONE,Dumbledore obviously wanted us to return to this moment.,,,,,,
HERMIONE,Clearly,,,,,,
HARRY,Good punch.,,,,,,
HERMIONE,Thanks.,,,,,,
HERMIONE,Malfoy's coming.,,,,,,
GOYLE,Run.,,,,,,
DRACO,Not a word to anyone,,,,,,
DRACO,I'm gonna get that jumped-up mudblood! Mark my words.,,,,,,
HERMIONE,That felt good.,,,,,,
RON,Not good,,,,,,
HARRY,Come on. We should be at Hagrid's.,,,,,,
HARRY,Look. Buckbeak's still alive.,,,,,,
HERMIONE,Of course.,,,,,,
HERMIONE,Remember what Dumbledore said?,,,,,,
HERMIONE,If we succeed,,,,,,
HERMIONE,Let's go.,,,,,,
HARRY,Here they come. I'd better hurry.,,,,,,
HERMIONE,Fudge has to see Buckbeak before we steal him.,,,,,,
HERMIONE,Otherwise,,,,,,
RON,Scabbers,,,,,,
HAGRID,Keep a closer eye on your pet.,,,,,,
HARRY,That's Pettigrew.,,,,,,
HERMIONE,Harry,,,,,,
HARRY,Hermione that's the he betrayed my parents.,,,,,,
HARRY,You don't expect me to sit here.,,,,,,
HERMIONE,Yes,,,,,,
HERMIONE,Harry,,,,,,
HERMIONE,If you go bursting in,,,,,,
HERMIONE,Awful things happen to wizards who meddle with time Harry.,,,,,,
HERMIONE,We can't be seen.,,,,,,
HERMIONE,Fudge is coming.,,,,,,
HERMIONE,And we aren't leaving?,,,,,,
HERMIONE,Why aren't we leaving?,,,,,,
HARRY,Are you mad?,,,,,,
HARRY,That hurt.,,,,,,
HERMIONE,Sorry.,,,,,,
HERMIONE,We're coming out the back door. Go!,,,,,,
HERMIONE,Is that really what my hair looks like from the back?,,,,,,
HARRY,What?,,,,,,
HERMIONE,I thought I just saw… Never mind.,,,,,,
RON,Let's go.,,,,,,
HERMIONE,Okay, Harry. Go!,,,,,
HARRY,Get away. Get off.,,,,,,
DUMBLEDORE,Minister,,,,,,
FUDGE,Yes,,,,,,
HARRY,Okay,,,,,,
HARRY,Come with us now. Come on.,,,,,,
HERMIONE,Keep trying. Come on. Quickly.,,,,,,
HARRY,Buckbeak. Okay?,,,,,,
HARRY,Quickly. Hurry up. Okay?,,,,,,
FUDGE,Your name only.,,,,,,
DUMBLEDORE,It's such a very long name...,,,,,,
HARRY,Hurry up now, okay?,,,,,
HERMIONE,Come on. Come on,,,,,,
HERMIONE,Come and get the nice dead ferret.,,,,,,
HERMIONE,Come on. It's here. Come on,,,,,,
DUMBLEDORE,Here we are,,,,,,
DUMBLEDORE,Now,,,,,,
FUDGE,Where?,,,,,,
DUMBLEDORE,Look beyond the rocks.,,,,,,
FUDGE,What am I supposed to see?,,,,,,
DUMBLEDORE,Professor Dippet had that ling planted when he was headmaster.,,,,,,
FUDGE,Oh, indeed.,,,,,
DUMBLEDORE,And all the strawberries.,,,,,,
HERMIONE,Come on,,,,,,
FUDGE,I see no strawberries.,,,,,,
DUMBLEDORE,Over there.,,,,,,
FUDGE,Where?,,,,,,
DUMBLEDORE,Over there.,,,,,,
HARRY,This way.,,,,,,
FUDGE,Let's get this over,,,,,,
DUMBLEDORE,All right.,,,,,,
FUDGE,But where is it?,,,,,,
FUDGE,I saw the beast,,,,,,
FUDGE,Not a moment ago!,,,,,,
DUMBLEDORE,How extraordinary.,,,,,,
HAGRID,Buckbeak.,,,,,,
FUDGE,Come now,,,,,,
FUDGE,Someone's obviously released him.,,,,,,
FUDGE,Hagrid?,,,,,,
HERMIONE,Buckbeak.,,,,,,
DUMBLEDORE,I don't think the minister's suggesting you had anything to do with this.,,,,,,
DUMBLEDORE,Afterall,,,,,,
DUMBLEDORE,You've been with us all the time.,,,,,,
HAGRID,Right.,,,,,,
FUDGE,Well,,,,,,
FUDGE,We must search the grounds.,,,,,,
DUMBLEDORE,Well, if you must, minister.,,,,
DUMBLEDORE,Meanwhile,,,,,,
DUMBLEDORE,Oh, your services are no longer required.,,,,,
DUMBLEDORE,Thank you.,,,,,,
HAGRID,You'll find no small glasses in this house,,,,,,
HERMIONE,Come on.,,,,,,
HARRY,This way.,,,,,,
HARRY,This way,,,,,,
HARRY,Now what?,,,,,,
HERMIONE,We save Sirius.,,,,,,
HARRY,How?,,,,,,
HERMIONE,No idea.,,,,,,
HERMIONE,Look. It's Lupin.,,,,,,
LUPIN,Immobulus!,,,,,,
HERMIONE,And Snape's coming.,,,,,,
HARRY,And now we wait.,,,,,,
HERMIONE,And now we wait.,,,,,,
HERMIONE,At least someone's enjoying himself.,,,,,,
HARRY,Yeah.,,,,,,
HARRY,Hermione?,,,,,,
HERMIONE,Yeah?,,,,,,
HARRY,Before, when I was with Sirius I did see someone.,,,,,
HARRY,That someone made the dementors go away.,,,,,,
HERMIONE,With a Patronus.,,,,,,
HERMIONE,I heard Snape telling Dumbledore.,,,,,,
HERMIONE,According to him only a really powerful wizard could have conjured it.,,,,,,
HARRY,It was my dad.,,,,,,
HARRY,It was my dad conjured the Patronus.,,,,,,
HERMIONE,Harry,,,,,,
HARRY,Dead. I know.,,,,,,
HARRY,I'm just telling you what I saw.,,,,,,
HERMIONE,Here we come.,,,,,,
HARRY,You see Sirius talking to me there?,,,,,,
HARRY,He's asking me to come live with him.,,,,,,
HERMIONE,That's great.,,,,,,
HARRY,When we free him,,,,,,
HARRY,It'll just be me and him.,,,,,,
HARRY,We could live in the country someplace you can see the sky.,,,,,,
HARRY,He'll like that after all those years in Azkaban.,,,,,,
HERMIONE,Harry!,,,,,,
SIRIUS,Run! Run!,,,,,,
HARRY,Let's go.,,,,,,
HARRY,What are you doing?,,,,,,
HERMIONE,Saving your life.,,,,,,
HARRY,Thanks.,,,,,,
HARRY,Great. Now he's coming for us.,,,,,,
HERMIONE,Yeah,,,,,,
HERMIONE,That was so scary.,,,,,,
HARRY,Poor Professor Lupin's having a really tough night.,,,,,,
HARRY,Sirius. Come on!,,,,,,
HERMIONE,This is horrible.,,,,,,
HARRY,Don't worry.,,,,,,
HARRY,My dad will come.,,,,,,
HARRY,He'll conjure the Patronus.,,,,,,
HARRY,Any minute now.,,,,,,
HARRY,Right there. You'll see.,,,,,,
HERMIONE,Harry,,,,,,
HERMIONE,No one's coming.,,,,,,
HARRY,Don't worry,,,,,,
HARRY,He will come.,,,,,,
HARRY,Sirius.,,,,,,
HERMIONE,You're dying both of you.,,,,,,
HERMIONE,Harry!,,,,,,
HARRY,Expecto Patronum!,,,,,,
HARRY,You were right,,,,,,
HARRY,It wasn't my dad I saw earlier. It was me!,,,,,,
HARRY,I saw myself conjuring the Patronus before.,,,,,,
HARRY,I knew I could do it this time because well,,,,,,
HARRY,Does that make sense?,,,,,,
HERMIONE,No. But I don't like flying...!,,,,,,
HERMIONE,Bombarda!,,,,,,
SIRIUS,I'll be forever grateful for this to both of you.,,,,,,
HARRY,I want to go with you.,,,,,,
SIRIUS,One day,,,,,,
SIRIUS,For some time,,,,,,
SIRIUS,And besides you're meant to be here.,,,,,,
HARRY,But you're innocent.,,,,,,
SIRIUS,And you know it.,,,,,,
SIRIUS,And for now,,,,,,
SIRIUS,I expect you're tired of hearing this but you look so like your father.,,,,,,
SIRIUS,Except your eyes. You have...,,,,,,
HARRY,My mother's eyes.,,,,,,
SIRIUS,It's cruel that I spent so much time with James and Lily,,,,,,
SIRIUS,But know this: The ones that love us never really leave us.,,,,,,
SIRIUS,And you can always find them in here.,,,,,,
SIRIUS,You really are the brightest witch of your age.,,,,,,
HERMIONE,We have to go.,,,,,,
DUMBLEDORE,Well?,,,,,,
HARRY,He's free. We did it.,,,,,,
DUMBLEDORE,Did what?,,,,,,
DUMBLEDORE,Good night.,,,,,,
RON,How did you get there?,,,,,,
RON,I was talking to you there.,,,,,,
RON,And now you're there.,,,,,,
HERMIONE,What's he talking about,,,,,,
HARRY,I don't know.,,,,,,
HARRY,Honestly,,,,,,
LUPIN,Hello,,,,,,
LUPIN,I saw you coming.,,,,,,
LUPIN,I've looked worse,,,,,,
HARRY,You've been sacked.,,,,,,
LUPIN,No. No. I resigned,,,,,,
HARRY,Resigned? Why?,,,,,,
LUPIN,Well,,,,,,
LUPIN,This time tomorrow, someone like me teaching their children.,,,,,
HARRY,But Dumbledore...,,,,,,
LUPIN,Dumbledore has already risked enough on my behalf.,,,,,,
LUPIN,Besides,,,,,,
LUPIN,Well,,,,,,
LUPIN,Why do you look so miserable,,,,,,
HARRY,None of it made any difference.,,,,,,
HARRY,Pettigrew escaped.,,,,,,
LUPIN,Didn't make any difference?,,,,,,
LUPIN,Harry,,,,,,
LUPIN,You uncovered the truth.,,,,,,
LUPIN,You saved an innocent man from a terrible fate.,,,,,,
LUPIN,It made a great deal of difference.,,,,,,
LUPIN,If I am proud of anything it is of how much you have learned this year.,,,,,,
LUPIN,Now,,,,,,
LUPIN,So now I'll say goodbye,,,,,,
LUPIN,I feel sure we'll meet again sometime.,,,,,,
LUPIN,Until then mischief managed.,,,,,,
RON,Stand back,,,,,,
NEVILLE,Harry.,,,,,,
NEVILLE,Wherever did you get it?,,,,,,
SEAMUS,Can I have a go,,,,,,
SEAMUS,After you,,,,,,
HARRY,What are you talking about?,,,,,,
RON,Quiet.,,,,,,
RON,Let the man through.,,,,,,
RON,I didn't mean to open it,,,,,,
RON,It was badly wrapped.,,,,,,
RON,They made me do it.,,,,,,
FRED & GEORGE,Did not.,,,,,,
GEORGE,It's a Firebolt.,,,,,,
FRED,It's the fastest broom in the world.,,,,,,
HARRY,For me?,,,,,,
HARRY,But who sent it?,,,,,,
RON,No one knows.,,,,,,
HERMIONE,This came with it.,,,,,,
BOY 1,Go on,,,,,,
BOY 2,Yeah,,,,,,
HERMIONE,How fast is it,,,,,,
HARRY,Lumos.,,,,,,
HARRY,I solemnly swear that I am up to no good.,,,,,,
HARRY,Mischief managed.,,,,,,
HARRY,Nox.,,,,,,